Step,Loss_train
1,0.039410930198246305
2,0.008084446081189111
3,0.0004127848617100023
4,0.00023636120743283445
5,0.0001797397742285844
6,0.00015318045597291594
7,0.0001427135248276117
8,0.00013110389375933437
9,0.00012308370330369584
10,0.00011963562390210579
11,0.00011270182413304572
12,0.00010922097423637427
13,0.000105931979095478
14,0.000106170517061593
15,0.00010058888802989493
16,0.00010184162371657892
17,9.857042523359664e-05
18,9.953662143758914e-05
19,9.631941668589293e-05
20,9.731049662185794e-05
21,9.673402830159836e-05
22,9.383036523866795e-05
23,9.303713515114307e-05
24,9.023459644803017e-05
25,8.983621089929205e-05
26,8.914334496321798e-05
27,8.722803799842382e-05
28,8.635843956365035e-05
29,8.571182487100073e-05
30,8.468530745694477e-05
31,8.345192686381343e-05
32,8.269936305215681e-05
33,8.154533856097138e-05
34,8.1032600480125e-05
35,8.018325046537422e-05
36,7.919184628314767e-05
37,7.79236111954958e-05
38,7.73347876709213e-05
39,7.649355615548933e-05
40,7.548916993075895e-05
41,7.511896003513324e-05
42,7.388381428252433e-05
43,7.385527362689408e-05
44,7.221256110573663e-05
45,7.184619541874168e-05
46,7.091206049396905e-05
47,7.059738563560672e-05
48,6.966879297140718e-05
49,6.910227706166323e-05
50,6.782425217810832e-05
51,6.747446666059585e-05
52,6.670062476944402e-05
53,6.588317253007312e-05
54,6.522204513433718e-05
55,6.439650414676456e-05
56,6.379320063431217e-05
57,6.314902695830672e-05
58,6.238263998368546e-05
59,6.1868731430026e-05
60,6.120340863783396e-05
61,6.0447440421570144e-05
62,5.978725439971866e-05
63,5.9135497018679396e-05
64,5.869122678328257e-05
65,5.824985131498338e-05
66,5.719603422928375e-05
67,5.6892286882627805e-05
68,5.6424486015367675e-05
69,5.573331114915404e-05
70,5.537028698242788e-05
71,5.454065772496797e-05
72,5.457576232546466e-05
73,5.369088897150961e-05
74,5.3404372540328676e-05
75,5.28076478869358e-05
76,5.25883723181161e-05
77,5.1914768563997354e-05
78,5.178988801509709e-05
79,5.110767642184234e-05
80,5.129373706301438e-05
81,5.050062256618591e-05
82,5.045529251422378e-05
83,5.004519198843903e-05
84,4.9638646020023244e-05
85,4.967151325215322e-05
86,4.876970762632882e-05
87,4.8927798356530435e-05
88,4.848267614500484e-05
89,4.8502481220561484e-05
90,4.796767972167856e-05
91,4.784384050367724e-05
92,4.750055140041627e-05
93,4.754448711593142e-05
94,4.7346534300784006e-05
95,4.69741910561313e-05
96,4.667625194531379e-05
97,4.66564351729966e-05
98,4.627703821424701e-05
99,4.612464205584681e-05
100,4.619756260241721e-05
101,4.574025894059932e-05
102,4.574522047360487e-05
103,4.552143877021724e-05
104,4.556418827283414e-05
105,4.527035522151894e-05
106,4.5430950511390086e-05
107,4.529802348045762e-05
108,4.548616875442164e-05
109,4.5039378762686844e-05
110,4.508790505770626e-05
111,4.5187983225008294e-05
112,4.5317883619711593e-05
113,4.5864126361803325e-05
114,4.5627310383301806e-05
115,4.553902163480773e-05
116,4.5361585294879134e-05
117,4.5348323141940927e-05
118,4.556106741270052e-05
119,4.5016531039740824e-05
120,4.501463903741999e-05
121,4.4822023503260534e-05
122,4.484715151942976e-05
123,4.4909085405470503e-05
124,4.472801699338356e-05
125,4.467558263763179e-05
126,4.4414304002937385e-05
127,4.424262590323945e-05
128,4.420168269003463e-05
129,4.3702140388013805e-05
130,4.3686712587586345e-05
131,4.361654331822386e-05
132,4.361937201395153e-05
133,4.351275749063347e-05
134,4.3697448607590025e-05
135,4.3206415371427194e-05
136,4.358093058759743e-05
137,4.350592854269833e-05
138,4.3334985090512514e-05
139,4.356112755777051e-05
140,4.308346773184205e-05
141,4.2880617303559414e-05
142,4.25631729730283e-05
143,4.232897549817529e-05
144,4.251797283060395e-05
145,4.2179139887203774e-05
146,4.206813845419289e-05
147,4.200497452786958e-05
148,4.15639683334199e-05
149,4.152329682352365e-05
150,4.132762461827587e-05
151,4.125816713872091e-05
152,4.106006677579202e-05
153,4.111828380969441e-05
154,4.0895624969352285e-05
155,4.086033272033801e-05
156,4.0497914576025775e-05
157,4.066730832397541e-05
158,4.0487475544043394e-05
159,4.011427549204633e-05
160,4.0067799493860486e-05
161,3.992364371593607e-05
162,3.983872326016936e-05
163,3.9672622314353446e-05
164,3.94439574572763e-05
165,3.9427004280962575e-05
166,3.930933300648766e-05
167,3.9084325822324674e-05
168,3.895375803901584e-05
169,3.905677804229975e-05
170,3.872600373813986e-05
171,3.868059883337039e-05
172,3.861848027493713e-05
173,3.836092614835042e-05
